name,gender,ratio,females,males,total
Annie,F,100,68790,231,69021
Rafael,M,99,533,67695,68228
Belinda,F,100,67997,150,68147
Kaleb,M,100,192,67867,68059
Glen,M,99,412,67583,67995
Alvin,M,99,479,67134,67613
Leon,M,99,454,67146,67600
Cesar,M,100,315,67233,67548
Loretta,F,100,67285,173,67458
Sheryl,F,100,67302,128,67430
Payton,F,67,45424,21940,67364
Meredith,F,98,65821,1341,67162
Mathew,M,100,207,66925,67132
Cheyenne,F,96,64451,2625,67076
Sue,F,100,66796,280,67076
Cooper,M,98,1355,65514,66869
Leo,M,100,316,66400,66716
Bernard,M,99,376,66170,66546
Josephine,F,100,66159,111,66270
Guadalupe,F,75,49612,16291,65903
Madelyn,F,100,65635,33,65668
Juanita,F,100,65381,269,65650
Erick,M,99,412,65210,65622
Sandy,F,90,59104,6372,65476
Clinton,M,100,293,65051,65344
Marco,M,99,333,64963,65296
Nevaeh,F,99,64713,380,65093
Candice,F,100,64880,155,65035
Emmanuel,M,99,337,64080,64417
Constance,F,100,64204,136,64340
Nora,F,100,64032,199,64231
Franklin,M,99,363,63795,64158
Jonathon,M,100,224,63334,63558
Kirk,M,100,197,63156,63353
Skylar,F,75,47236,15986,63222
Jacquelyn,F,100,63007,95,63102
Nichole,F,100,62916,184,63100
Glenda,F,100,62939,138,63077
Tom,M,100,134,62730,62864
Abraham,M,100,196,62604,62800
Armando,M,99,362,61978,62340
Layla,F,100,61907,73,61980
Sophie,F,100,61913,43,61956
Jada,F,100,61238,237,61475
Terrance,M,99,695,60602,61297
Dan,M,100,261,60859,61120
Marlene,F,100,60955,148,61103
Rosemary,F,100,60766,134,60900
Leroy,M,99,412,60461,60873
Carly,F,100,60697,160,60857
Kate,F,100,60740,77,60817
Robyn,F,98,59547,1097,60644
Sonya,F,100,60418,183,60601
Rene,M,68,19568,40980,60548
Terrence,M,99,482,60019,60501
Gilbert,M,99,304,60095,60399
Kristopher,M,100,297,60094,60391
Dillon,M,99,530,59856,60386
Gordon,M,100,172,59956,60128
Kennedy,F,90,54133,5766,59899
Cecilia,F,100,59481,152,59633
Cristian,M,98,1102,57834,58936
Damon,M,99,316,58495,58811
Kari,F,99,58150,623,58773
Dianne,F,100,58400,104,58504
Miriam,F,100,58201,219,58420
Bill,M,100,108,58279,58387
Sheri,F,100,58210,114,58324
Ross,M,100,245,57978,58223
Miles,M,100,173,58044,58217
Yvette,F,100,57804,186,57990
Zoey,F,100,57701,180,57881
Ayden,M,97,1987,55808,57795
Jan,F,75,43550,14150,57700
Sonia,F,100,57302,283,57585
Giovanni,M,99,841,56585,57426
Rickey,M,99,511,56739,57250
Lonnie,M,95,2870,54146,57016
Adrienne,F,99,56604,375,56979
Isabelle,F,100,56938,20,56958
Byron,M,100,249,56594,56843
Brody,M,100,201,56599,56800
Clara,F,100,56680,82,56762
Kaitlin,F,100,56678,75,56753
Daryl,M,94,3262,53490,56752
Tabitha,F,100,56475,146,56621
Ramon,M,99,419,55947,56366
Karina,F,100,56069,253,56322
Lois,F,99,55835,370,56205
Skyler,M,64,20165,35954,56119
Elena,F,100,55974,86,56060
Sadie,F,100,55587,42,55629
Elias,M,100,144,55467,55611
Roxanne,F,100,55013,55,55068
Kent,M,100,161,54875,55036
Cassidy,F,94,51789,3128,54917
Joey,M,90,5656,48918,54574
Alisha,F,100,54351,131,54482
Abby,F,100,54300,153,54453
Marshall,M,99,783,53478,54261
Gianna,F,100,54027,28,54055
Herbert,M,99,281,53741,54022
Julio,M,99,382,53456,53838
Jonah,M,99,495,53339,53834
Caden,M,99,792,53020,53812
Daniela,F,100,53486,163,53649
Kaden,M,98,990,52622,53612
Natalia,F,100,53462,41,53503
Alberto,M,99,353,53098,53451
Lewis,M,99,314,52991,53305
Mckenzie,F,96,51185,2049,53234
Vernon,M,99,425,52571,52996
Gage,M,100,218,52702,52920
Allan,M,100,157,52699,52856
Genesis,F,97,51048,1654,52702
Valeria,F,100,52536,105,52641
Trenton,M,100,78,52560,52638
Mallory,F,98,51676,803,52479
Traci,F,100,52029,233,52262
Kirsten,F,100,51957,211,52168
Dwight,M,99,273,51813,52086
Colby,M,93,3644,48264,51908
Camille,F,99,51448,408,51856
Wade,M,100,129,51617,51746
Damien,M,99,260,51376,51636
Eleanor,F,100,51589,19,51608
Elise,F,100,51551,41,51592
Maggie,F,100,51491,35,51526
Angie,F,100,51242,126,51368
Aimee,F,100,51201,78,51279
Israel,M,98,1017,50186,51203
Sidney,M,61,19672,31261,50933
Stella,F,100,50774,41,50815
Harrison,M,100,203,50540,50743
Caitlyn,F,100,50566,34,50600
Kellie,F,100,50349,251,50600
Kelley,F,90,45764,4835,50599
Lloyd,M,100,225,50314,50539
Dallas,M,82,9241,41143,50384
Perry,M,97,1717,48483,50200
Mikayla,F,100,50041,11,50052
Angelo,M,99,691,49215,49906
Enrique,M,99,255,49555,49810
Alana,F,100,49567,31,49598
Jordyn,F,91,45103,4423,49526
Lacey,F,98,48672,846,49518
Donovan,M,100,205,49295,49500
Cristina,F,99,49192,270,49462
Georgia,F,100,49320,106,49426
Geoffrey,M,100,140,49266,49406
Guy,M,100,130,49247,49377
Leonardo,M,100,124,48938,49062
Lorenzo,M,99,273,48715,48988
Conner,M,98,767,48154,48921
Cara,F,100,48826,62,48888
Janelle,F,100,48649,86,48735
Johnnie,M,76,11511,37177,48688
Alec,M,99,331,48330,48661
Gerardo,M,100,239,48195,48434
Darius,M,99,272,48065,48337
Kelvin,M,99,304,47989,48293
Trent,M,100,102,48116,48218
Allyson,F,100,48193,21,48214
Celeste,F,100,48166,45,48211
Grayson,M,94,3096,44951,48047
Marisa,F,100,47952,66,48018
Bobbie,F,89,42704,5269,47973
Gracie,F,100,47931,33,47964
Jace,M,99,586,47293,47879
Jaclyn,F,100,47750,103,47853
Gene,M,98,1164,46610,47774
Stuart,M,100,204,47446,47650
Michaela,F,100,47573,69,47642
Alejandra,F,99,47042,525,47567
Vicky,F,99,47172,353,47525
Juliana,F,100,47461,49,47510
Mya,F,100,47380,54,47434
Jaxon,M,100,225,47020,47245
Hayley,F,100,47088,46,47134
Nelson,M,99,249,46818,47067
Lynda,F,100,46984,61,47045
Arlene,F,100,46847,71,46918
